#Name	Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein Name
chromosome	NZ_CP046291.1	4666688	358	+		sppA	FOC20_RS00005	WP_156010112.1	618	signal peptide peptidase SppA
chromosome	NZ_CP046291.1	454	1470	+		ansA	FOC20_RS00010	WP_001170134.1	338	MULTISPECIES: asparaginase
chromosome	NZ_CP046291.1	1497	2153	+		pncA	FOC20_RS00015	WP_000184701.1	218	MULTISPECIES: bifunctional nicotinamidase/pyrazinamidase
chromosome	NZ_CP046291.1	2256	3614	-			FOC20_RS00020	WP_023223196.1	452	MULTISPECIES: MFS transporter
chromosome	NZ_CP046291.1	3750	4508	-			FOC20_RS00025	WP_000719104.1	252	MULTISPECIES: DeoR/GlpR family DNA-binding transcription regulator
chromosome	NZ_CP046291.1	4638	5621	-			FOC20_RS00030	WP_156010113.1	327	aldo/keto reductase
chromosome	NZ_CP046291.1	5631	6578	-			FOC20_RS00035	WP_000343332.1	315	MULTISPECIES: sugar kinase
chromosome	NZ_CP046291.1	6583	7419	-			FOC20_RS00040	WP_000878867.1	278	MULTISPECIES: ketose-bisphosphate aldolase
chromosome	NZ_CP046291.1	7441	8484	-			FOC20_RS00045	WP_076726434.1	347	NAD(P)-dependent alcohol dehydrogenase
chromosome	NZ_CP046291.1	8495	9874	-			FOC20_RS00050	WP_156010114.1	459	MFS transporter
chromosome	NZ_CP046291.1	9901	10977	-			FOC20_RS00055	WP_076726430.1	358	zinc-binding dehydrogenase
chromosome	NZ_CP046291.1	12023	12301	-			FOC20_RS00065	WP_001046864.1	92	MULTISPECIES: YeaC family protein
chromosome	NZ_CP046291.1	12343	12756	-		msrB	FOC20_RS00070	WP_001519539.1	137	MULTISPECIES: peptide-methionine (R)-S-oxide reductase MsrB
chromosome	NZ_CP046291.1	13098	14093	+		gapA	FOC20_RS00075	WP_000153505.1	331	MULTISPECIES: glyceraldehyde-3-phosphate dehydrogenase
chromosome	NZ_CP046291.1	14428	15312	+			FOC20_RS00080	WP_156010115.1	294	D-hexose-6-phosphate mutarotase
chromosome	NZ_CP046291.1	15411	16268	-			FOC20_RS00085	WP_000843751.1	285	MULTISPECIES: aldo/keto reductase
chromosome	NZ_CP046291.1	16366	17562	-			FOC20_RS00090	WP_000029242.1	398	MULTISPECIES: anaerobic sulfatase maturase
chromosome	NZ_CP046291.1	17852	18598	-			FOC20_RS00095	WP_000163762.1	248	MULTISPECIES: MipA/OmpV family protein
chromosome	NZ_CP046291.1	19025	20959	+		yeaG	FOC20_RS00100	WP_156010116.1	644	protein kinase YeaG
chromosome	NZ_CP046291.1	21082	22368	+			FOC20_RS00105	WP_094887579.1	428	YeaH/YhbH family protein
chromosome	NZ_CP046291.1	22520	22744	-			FOC20_RS00110	WP_156010117.1	74	hypothetical protein
chromosome	NZ_CP046291.1	23167	24660	+			FOC20_RS00115	WP_156010118.1	497	GGDEF domain-containing protein
chromosome	NZ_CP046291.1	24710	25228	+			FOC20_RS00120	WP_196774223.1	172	YbaK/prolyl-tRNA synthetase associated domain-containing protein
chromosome	NZ_CP046291.1	25225	25332	-			FOC20_RS00125	WP_000272237.1	35	MULTISPECIES: hypothetical protein
chromosome	NZ_CP046291.1	25538	25984	+			FOC20_RS00130	WP_000460698.1	148	MULTISPECIES: DUF441 domain-containing protein
chromosome	NZ_CP046291.1	25964	26758	-			FOC20_RS00135	WP_000579798.1	264	MULTISPECIES: helix-turn-helix transcriptional regulator
chromosome	NZ_CP046291.1	26859	28043	+			FOC20_RS00140	WP_156010120.1	394	CynX/NimT family MFS transporter
chromosome	NZ_CP046291.1	28162	28509	+			FOC20_RS00145	WP_001222530.1	115	MULTISPECIES: DUF488 domain-containing protein
chromosome	NZ_CP046291.1	28495	28806	-			FOC20_RS00150	WP_000487129.1	103	MULTISPECIES: hypothetical protein
chromosome	NZ_CP046291.1	28875	29126	-			FOC20_RS00155	WP_076935147.1	83	DUF333 domain-containing protein
chromosome	NZ_CP046291.1	29322	29420	+			FOC20_RS00160	WP_001589065.1	32	MULTISPECIES: YoaK family small membrane protein
