#Name	Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein Name
chromosome	NZ_CP040380.1	4596606	4597565	+		pstC	S338_RS22560	WP_000741630.1	319	MULTISPECIES: phosphate ABC transporter permease PstC
chromosome	NZ_CP040380.1	4597565	4598455	+		pstA	S338_RS22565	WP_000212197.1	296	MULTISPECIES: phosphate ABC transporter permease PstA
chromosome	NZ_CP040380.1	4598542	4599315	+		pstB	S338_RS22570	WP_000063118.1	257	MULTISPECIES: phosphate ABC transporter ATP-binding protein PstB
chromosome	NZ_CP040380.1	4599330	4600055	+		phoU	S338_RS22575	WP_000377800.1	241	MULTISPECIES: phosphate signaling complex protein PhoU
chromosome	NZ_CP040380.1	4600150	4600815	-		yieH	S338_RS22580	WP_000078081.1	221	MULTISPECIES: 6-phosphogluconate phosphatase
chromosome	NZ_CP040380.1	4600984	4602321	+		adeP	S338_RS22585	WP_001519317.1	445	MULTISPECIES: adenine permease AdeP
chromosome	NZ_CP040380.1	4602366	4602932	-			S338_RS22590	WP_000005236.1	188	NAD(P)H-dependent oxidoreductase
chromosome	NZ_CP040380.1	4602949	4603704	-			S338_RS22595	WP_000190678.1	251	MULTISPECIES: 4\\'-phosphopantetheinyl transferase superfamily protein
chromosome	NZ_CP040380.1	4603862	4604821	-		yidZ	S338_RS22600	WP_000749364.1	319	MULTISPECIES: HTH-type transcriptional regulator YidZ
chromosome	NZ_CP040380.1	4604790	4605977	-			S338_RS22605	WP_000819622.1	395	MULTISPECIES: MFS transporter
chromosome	NZ_CP040380.1	4606878	4607813	-			S338_RS22610	WP_000353754.1	311	MULTISPECIES: retron St85 family RNA-directed DNA polymerase
chromosome	NZ_CP040380.1	4607813	4608775	-			S338_RS22615	WP_000461377.1	320	MULTISPECIES: retron St85 family effector protein
chromosome	NZ_CP040380.1	4610641	4612005	-		mnmE	S338_RS22625	WP_000019081.1	454	MULTISPECIES: tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE
chromosome	NZ_CP040380.1	4612147	4613793	-		yidC	S338_RS22630	WP_000378283.1	548	MULTISPECIES: membrane protein insertase YidC
chromosome	NZ_CP040380.1	4613796	4614053	-		yidD	S338_RS22635	WP_001307474.1	85	MULTISPECIES: membrane protein insertion efficiency factor YidD
chromosome	NZ_CP040380.1	4614017	4614376	-		rnpA	S338_RS22640	WP_000239725.1	119	MULTISPECIES: ribonuclease P protein component
chromosome	NZ_CP040380.1	4614393	4614533	-		rpmH	S338_RS22645	WP_000831330.1	46	MULTISPECIES: 50S ribosomal protein L34
chromosome	NZ_CP040380.1	1	1401	+		dnaA	S338_RS00005	WP_000059093.1	466	MULTISPECIES: chromosomal replication initiator protein DnaA
chromosome	NZ_CP040380.1	1406	2506	+		dnaN	S338_RS00010	WP_000673474.1	366	MULTISPECIES: DNA polymerase III subunit beta
chromosome	NZ_CP040380.1	2704	3777	+		recF	S338_RS00015	WP_000059372.1	357	MULTISPECIES: DNA replication/repair protein RecF
chromosome	NZ_CP040380.1	3806	6220	+		gyrB	S338_RS00020	WP_000072047.1	804	MULTISPECIES: DNA topoisomerase (ATP-hydrolyzing) subunit B
chromosome	NZ_CP040380.1	6239	7135	-			S338_RS00025	WP_001054595.1	298	MULTISPECIES: LysR family transcriptional regulator
chromosome	NZ_CP040380.1	7250	8443	-			S338_RS00030	WP_000975833.1	397	MULTISPECIES: mandelate racemase/muconate lactonizing enzyme family protein
chromosome	NZ_CP040380.1	8457	9719	-			S338_RS00035	WP_000061262.1	420	MULTISPECIES: MFS transporter
chromosome	NZ_CP040380.1	10024	10869	+		yidA	S338_RS00040	WP_000985570.1	281	MULTISPECIES: sugar-phosphatase
chromosome	NZ_CP040380.1	11130	11819	+		dgoR	S338_RS00045	WP_000174317.1	229	MULTISPECIES: D-galactonate utilization transcriptional regulator DgoR
chromosome	NZ_CP040380.1	11816	12694	+			S338_RS00050	WP_000127129.1	292	MULTISPECIES: 2-dehydro-3-deoxygalactonokinase
chromosome	NZ_CP040380.1	12678	13295	+			S338_RS00055	WP_001198741.1	205	MULTISPECIES: 2-dehydro-3-deoxy-6-phosphogalactonate aldolase
chromosome	NZ_CP040380.1	13292	14440	+		dgoD	S338_RS00060	WP_000704735.1	382	MULTISPECIES: galactonate dehydratase
chromosome	NZ_CP040380.1	14525	15862	+			S338_RS00065	WP_000253524.1	445	MULTISPECIES: MFS transporter
chromosome	NZ_CP040380.1	15888	18623	-		torS	S338_RS00070	WP_000106940.1	911	TMAO reductase system sensor histidine kinase/response regulator TorS
chromosome	NZ_CP040380.1	18703	19743	+		torT	S338_RS00075	WP_001202036.1	346	TMAO reductase system periplasmic protein TorT
chromosome	NZ_CP040380.1	19716	20408	-		torR	S338_RS00080	WP_001562512.1	230	MULTISPECIES: two-component system response regulator TorR
chromosome	NZ_CP040380.1	20538	21722	+		torC	S338_RS00085	WP_001230254.1	394	MULTISPECIES: pentaheme c-type cytochrome TorC
chromosome	NZ_CP040380.1	21712	24264	+		torA	S338_RS00090	WP_000790677.1	850	trimethylamine-N-oxide reductase TorA
chromosome	NZ_CP040380.1	24257	24889	+		torD	S338_RS00095	WP_000595414.1	210	molecular chaperone TorD
chromosome	NZ_CP040380.1	25079	26479	+			S338_RS00100	WP_000724469.1	466	MULTISPECIES: cytochrome-c peroxidase
chromosome	NZ_CP040380.1	26485	27102	+		ccmA	S338_RS00105	WP_001530032.1	205	cytochrome c biogenesis heme-transporting ATPase CcmA
chromosome	NZ_CP040380.1	27099	27758	+		ccmB	S338_RS00110	WP_000990033.1	219	MULTISPECIES: heme exporter protein CcmB
chromosome	NZ_CP040380.1	27810	28547	+			S338_RS00115	WP_000265994.1	245	heme ABC transporter permease
chromosome	NZ_CP040380.1	28544	28756	+		ccmD	S338_RS00120	WP_000074110.1	70	MULTISPECIES: heme exporter protein CcmD
chromosome	NZ_CP040380.1	28753	29232	+		ccmE	S338_RS00125	WP_023892717.1	159	cytochrome c maturation protein CcmE
chromosome	NZ_CP040380.1	29229	31160	+			S338_RS00130	WP_000982513.1	643	heme lyase CcmF/NrfE family subunit
chromosome	NZ_CP040380.1	31157	31714	+		dsbE	S338_RS00135	WP_000828301.1	185	thiol:disulfide interchange protein DsbE
chromosome	NZ_CP040380.1	31711	32754	+			S338_RS00140	WP_138155919.1	347	cytochrome c-type biogenesis protein CcmH
chromosome	NZ_CP040380.1	32876	34102	+			S338_RS00145	WP_000809941.1	408	MULTISPECIES: DUF3748 domain-containing protein
chromosome	NZ_CP040380.1	34104	34436	-			S338_RS00150	WP_001543704.1	110	MULTISPECIES: YceK/YidQ family lipoprotein
chromosome	NZ_CP040380.1	34746	35159	+		ibpA	S338_RS00155	WP_001532742.1	137	MULTISPECIES: heat shock chaperone IbpA
chromosome	NZ_CP040380.1	35269	35697	+		ibpB	S338_RS00160	WP_001246919.1	142	MULTISPECIES: heat shock chaperone IbpB
chromosome	NZ_CP040380.1	35886	37547	+			S338_RS00165	WP_001279793.1	553	MULTISPECIES: putative transporter
chromosome	NZ_CP040380.1	37554	37871	+			S338_RS22650	WP_162094114.1	105	MULTISPECIES: hypothetical protein
chromosome	NZ_CP040380.1	37991	38338	+			S338_RS00170	WP_000703964.1	115	MULTISPECIES: YidH family protein
chromosome	NZ_CP040380.1	38328	38690	+			S338_RS00175	WP_001113454.1	120	MULTISPECIES: DUF202 domain-containing protein
chromosome	NZ_CP040380.1	38687	39217	+			S338_RS00180	WP_000147831.1	176	MULTISPECIES: radical SAM protein
chromosome	NZ_CP040380.1	39299	40621	-		dsdA	S338_RS00185	WP_000428000.1	440	MULTISPECIES: D-serine ammonia-lyase
chromosome	NZ_CP040380.1	40639	41976	-		dsdX	S338_RS00190	WP_000543317.1	445	MULTISPECIES: D-serine transporter DsdX
chromosome	NZ_CP040380.1	42202	43125	+		dsdC	S338_RS00195	WP_001522218.1	307	MULTISPECIES: DNA-binding transcriptional regulator DsdC
