#Name	Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein Name
chromosome	NZ_CP046280.1	481	1197	-			FOB96_RS00005	WP_000532939.1	238	MULTISPECIES: YebC/PmpR family DNA-binding transcriptional regulator
chromosome	NZ_CP046280.1	1757	3388	-			FOB96_RS00010	WP_094914773.1	543	class I SAM-dependent methyltransferase
chromosome	NZ_CP046280.1	3393	3650	-			FOB96_RS00015	WP_001054380.1	85	MULTISPECIES: YjhX family toxin
chromosome	NZ_CP046280.1	4138	4746	+			FOB96_RS00020	WP_000864858.1	202	MULTISPECIES: DUF1062 domain-containing protein
chromosome	NZ_CP046280.1	5098	6009	+			FOB96_RS00025	WP_000556783.1	303	hypothetical protein
chromosome	NZ_CP046280.1	6215	6676	+			FOB96_RS00030	WP_015406155.1	153	DUF302 domain-containing protein
chromosome	NZ_CP046280.1	6673	7347	-			FOB96_RS00035	WP_024155009.1	224	dienelactone hydrolase family protein
chromosome	NZ_CP046280.1	7697	8470	+		uxuR	FOB96_RS00040	WP_000841654.1	257	MULTISPECIES: Uxu operon transcriptional regulator
chromosome	NZ_CP046280.1	8471	9484	-		trpS	FOB96_RS00045	WP_001094616.1	337	tryptophan--tRNA ligase
chromosome	NZ_CP046280.1	10202	10732	+			FOB96_RS00050	WP_000907671.1	176	MULTISPECIES: Hcp family type VI secretion system effector
chromosome	NZ_CP046280.1	10971	11705	+			FOB96_RS00055	WP_000683243.1	244	MULTISPECIES: aspartate/glutamate racemase family protein
chromosome	NZ_CP046280.1	11711	12619	-		hypT	FOB96_RS00060	WP_000383509.1	302	MULTISPECIES: hypochlorite stress DNA-binding transcriptional regulator HypT
chromosome	NZ_CP046280.1	12738	13910	-			FOB96_RS00065	WP_001113063.1	390	beta-aspartyl-peptidase
chromosome	NZ_CP046280.1	13923	14384	-			FOB96_RS00070	WP_000211979.1	153	MULTISPECIES: YjiG family protein
chromosome	NZ_CP046280.1	14381	15052	-			FOB96_RS00075	WP_000068752.1	223	MULTISPECIES: YjiH family protein
chromosome	NZ_CP046280.1	15924	17108	-			FOB96_RS00080	WP_094914775.1	394	MFS transporter
chromosome	NZ_CP046280.1	17328	18599	-			FOB96_RS00085	WP_001033033.1	423	MULTISPECIES: DUF445 domain-containing protein
chromosome	NZ_CP046280.1	18686	19927	-		mdtM	FOB96_RS00090	WP_001188918.1	413	MULTISPECIES: multidrug efflux MFS transporter MdtM
